MODEL,CreatedDate
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,01/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/06/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,02/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/06/2023
TUCSON 1.6 TURBO HYBRID (S/R),02/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/06/2023
SANTA FE 1.6 TURBO HYBRID (S/R),02/06/2023
IONIQ 6 ELECTRIC AWD,02/06/2023
IONIQ 6 ELECTRIC AWD,03/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/06/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,04/06/2023
TUCSON 1.6 TURBO HYBRID (S/R),04/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/06/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,05/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/06/2023
IONIQ 6 ELECTRIC AWD,05/06/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/06/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,06/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/06/2023
"AVANTE 1.6 AUTO ""S""",06/06/2023
STARIA 3.5 AUTO (S/R),07/06/2023
IONIQ 6 ELECTRIC AWD,09/06/2023
TUCSON 1.6 TURBO HYBRID (S/R),10/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/06/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,12/06/2023
TUCSON 1.6 TURBO HYBRID (S/R),12/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/06/2023
"AVANTE 1.6 AUTO ""S""",14/06/2023
"AVANTE 1.6 AUTO ""S""",14/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,15/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,18/06/2023
IONIQ 6 ELECTRIC AWD,19/06/2023
IONIQ 6 ELECTRIC AWD,19/06/2023
IONIQ 6 ELECTRIC AWD,19/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,19/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,20/06/2023
IONIQ 6 ELECTRIC AWD,20/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,20/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/06/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,23/06/2023
"AVANTE 1.6 AUTO ""S""",23/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,23/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 6 ELECTRIC AWD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 6 ELECTRIC AWD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 6 ELECTRIC AWD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/06/2023
SANTA FE 1.6 TURBO HYBRID (S/R),28/06/2023
IONIQ 6 ELECTRIC AWD,28/06/2023
IONIQ 6 ELECTRIC AWD,28/06/2023
SANTA FE 1.6 TURBO HYBRID (S/R),28/06/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,28/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/06/2023
SANTA FE 1.6 TURBO HYBRID (S/R),29/06/2023
IONIQ 6 ELECTRIC AWD,29/06/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,30/06/2023
IONIQ 6 ELECTRIC AWD,30/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/06/2023
TUCSON 1.6 TURBO HYBRID (S/R),30/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/06/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/06/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),02/07/2023
IONIQ 6 ELECTRIC AWD,02/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,04/07/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,04/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),04/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,07/07/2023
IONIQ 6 ELECTRIC AWD,08/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/07/2023
IONIQ 5 ELECTRIC 2WD,09/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,09/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),09/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,09/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),09/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),10/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),15/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),15/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),19/07/2023
IONIQ 6 ELECTRIC AWD,19/07/2023
IONIQ 6 ELECTRIC AWD,19/07/2023
IONIQ 6 ELECTRIC AWD,20/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,20/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,21/07/2023
IONIQ 6 ELECTRIC AWD,21/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),21/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/07/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,22/07/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),23/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),24/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),25/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/07/2023
KONA 1.6 DCT GL HYBRID,27/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/07/2023
TUCSON 1.6 TURBO HYBRID (S/R),28/07/2023
STARIA 3.5 AUTO (S/R),28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),30/07/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/07/2023
KONA 1.6 DCT HYBRID ELITE (S/R),31/07/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),03/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/08/2023
KONA 1.6 DCT GL HYBRID,04/08/2023
TUCSON 1.6 TURBO HYBRID (S/R),04/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/08/2023
KONA 1.6 DCT GL HYBRID,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,07/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),07/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 6 ELECTRIC AWD,08/08/2023
TUCSON 1.6 TURBO HYBRID (S/R),08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),10/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),11/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),11/08/2023
IONIQ 6 ELECTRIC AWD,12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
IONIQ 6 ELECTRIC AWD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),13/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
TUCSON 1.6 TURBO HYBRID (S/R),17/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/08/2023
IONIQ 6 ELECTRIC AWD,21/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),21/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),22/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),22/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,26/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,26/08/2023
STARIA 3.5 AUTO (S/R),26/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/08/2023
IONIQ 6 ELECTRIC AWD,27/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,27/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),27/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/08/2023
IONIQ 6 ELECTRIC AWD,27/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,31/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/09/2023
GENESIS GV80 2.5 TURBO AUTO,04/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),04/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),05/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),08/09/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,09/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/09/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,09/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),10/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,14/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),15/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
KONA 1.6 DCT GL HYBRID,16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,18/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),18/09/2023
KONA 1.6 DCT GL HYBRID,22/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),23/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT GL HYBRID,24/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT GL HYBRID,24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),25/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),25/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),29/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/09/2023
STARIA 3.5 AUTO (S/R),30/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),30/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/10/2023
TUCSON 1.6 TURBO HYBRID (S/R),01/10/2023
KONA 1.6 DCT GL HYBRID,01/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/10/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,01/10/2023
SANTA FE 1.6 TURBO HYBRID (S/R),01/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),02/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),02/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/10/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,03/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),06/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),07/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT GL HYBRID,08/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),08/10/2023
KONA 1.6 DCT GL HYBRID,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/10/2023
