MODEL,CreatedDate
KONA 1.6 DCT HYBRID ELITE (S/R),10/10/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/10/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,13/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/10/2023
IONIQ 6 ELECTRIC AWD,14/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,14/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),15/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),21/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,21/10/2023
TUCSON 1.6 TURBO HYBRID (S/R),21/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),23/10/2023
IONIQ 6 ELECTRIC AWD,24/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/10/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,26/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),28/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),28/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),30/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,31/10/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,31/10/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/11/2023
SANTA FE 1.6 TURBO HYBRID (S/R),01/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),04/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),04/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),05/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),06/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,06/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/11/2023
SANTA FE 1.6 TURBO HYBRID (S/R),09/11/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,09/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),10/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),11/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
"AVANTE 1.6 DCT HYBRID ""S""",11/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,11/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/11/2023
IONIQ 6 ELECTRIC AWD,12/11/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),12/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,12/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,12/11/2023
KONA 1.6 DCT GL HYBRID,12/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),13/11/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),13/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),13/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),13/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,14/11/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,14/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,15/11/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,18/11/2023
IONIQ 6 ELECTRIC AWD,19/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),19/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,20/11/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),20/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),20/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,21/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,21/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,21/11/2023
IONIQ 5 ELECTRIC INSPIRATION AWD,21/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,24/11/2023
KONA 1.6 DCT GL HYBRID,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/11/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,26/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),28/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),29/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),29/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),30/11/2023
TUCSON 1.6 TURBO HYBRID (S/R),30/11/2023
KONA 1.6 DCT GL HYBRID,30/11/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/11/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),01/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/12/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),01/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/12/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,02/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),03/12/2023
TUCSON 1.6 TURBO HYBRID (S/R),03/12/2023
TUCSON 1.6 TURBO HYBRID (S/R),03/12/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),03/12/2023
KONA 1.6 DCT GL HYBRID,03/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/12/2023
KONA 1.6 DCT GL HYBRID,03/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/12/2023
KONA 1.6 DCT GL HYBRID,04/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/12/2023
TUCSON 1.6 TURBO HYBRID (S/R),05/12/2023
TUCSON 1.6 TURBO HYBRID (S/R),05/12/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,05/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/12/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,09/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
KONA 1.6 DCT GL HYBRID (PHV),12/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/12/2023
KONA 1.6 DCT GL HYBRID,13/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/12/2023
KONA 1.6 DCT GL HYBRID,15/12/2023
KONA 1.6 DCT GL HYBRID,15/12/2023
KONA 1.6 DCT GL HYBRID,15/12/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),15/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/12/2023
KONA 1.6 DCT GL HYBRID,16/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/12/2023
KONA 1.6 DCT GL HYBRID,17/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/12/2023
STARIA 3.5 AUTO (S/R),17/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),18/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,18/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,18/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,19/12/2023
AVANTE 1.6 DCT HYBRID ELITE (S/R),19/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),19/12/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,19/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,23/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),23/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,25/12/2023
STARIA 3.5 AUTO (S/R),26/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,26/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/12/2023
KONA 1.6 DCT GL HYBRID,30/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),31/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),31/12/2023
KONA 1.6 DCT GL HYBRID,31/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,31/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,31/12/2023
KONA 1.6 DCT HYBRID ELITE (S/R),31/12/2023
KONA 1.6 DCT GL HYBRID,31/12/2023
KONA 1.6 DCT GL HYBRID,31/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,31/12/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/01/2024
TUCSON 1.6 TURBO HYBRID (S/R),05/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,05/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),05/01/2024
IONIQ 6 ELECTRIC AWD,05/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),05/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,05/01/2024
TUCSON 1.6 TURBO HYBRID (S/R),05/01/2024
TUCSON 1.6 TURBO HYBRID (S/R),05/01/2024
IONIQ 6 ELECTRIC AWD,05/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),06/01/2024
KONA ELECTRIC,06/01/2024
IONIQ 6 ELECTRIC 2WD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
IONIQ 6 ELECTRIC AWD,06/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
KONA ELECTRIC S/R,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,06/01/2024
KONA 1.6 DCT GL HYBRID,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
KONA 1.6 DCT GL HYBRID,06/01/2024
IONIQ 6 ELECTRIC AWD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,06/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,06/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),07/01/2024
IONIQ 6 ELECTRIC 2WD,07/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),07/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/01/2024
TUCSON 1.6 TURBO HYBRID (S/R),07/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/01/2024
IONIQ 6 ELECTRIC AWD,07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),07/01/2024
IONIQ 6 ELECTRIC 2WD,07/01/2024
KONA ELECTRIC,07/01/2024
KONA 1.6 DCT GL HYBRID,07/01/2024
IONIQ 6 ELECTRIC 2WD,07/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),07/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,07/01/2024
IONIQ 6 ELECTRIC 2WD,07/01/2024
IONIQ 6 ELECTRIC AWD,07/01/2024
KONA 1.6 DCT GL HYBRID,08/01/2024
KONA 1.6 DCT GL HYBRID,08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
KONA 1.6 DCT GL HYBRID,08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,08/01/2024
KONA 1.6 DCT GL HYBRID,08/01/2024
IONIQ 6 ELECTRIC 2WD,08/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),09/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),09/01/2024
KONA ELECTRIC S/R,09/01/2024
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,09/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,09/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA ELECTRIC,10/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA ELECTRIC,10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
KONA ELECTRIC S/R,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
IONIQ 6 ELECTRIC AWD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
KONA ELECTRIC S/R,10/01/2024
IONIQ 6 ELECTRIC 2WD,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA ELECTRIC S/R,10/01/2024
AVANTE 1.6 DCT HYBRID ELITE (S/R),10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA 1.6 DCT GL HYBRID,10/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/01/2024
KONA 1.6 DCT HYBRID ELITE (S/R),10/01/2024
KONA ELECTRIC S/R,11/01/2024
IONIQ 6 ELECTRIC 2WD,11/01/2024
KONA 1.6 DCT GL HYBRID,11/01/2024
